Substance name,CAS,E number,Hazard,Reference point,Year
Acrylamide,79-06-1,,Carcinogenic mutagenic reprotoxic,BMDL10 0.17 mg/kg bw/day,2015
Aspartame,22839-47-0,E951,Not classified,ADI 40 mg/kg bw/day,2023
Bisphenol A,80-05-7,,Endocrine disrupting properties,TDI 0.2 ng/kg bw/day,2023
Butylated hydroxyanisole (BHA),25013-16-5,E320,Possible endocrine effects,ADI 1 mg/kg bw/day,2012
Butylated hydroxytoluene (BHT),128-37-0,E321,Not genotoxic,ADI 0.25 mg/kg bw/day,2012
Caramel colour (E150d),55963-33-2,E150d,Not of concern,ADI 300 mg/kg bw/day,2011
Carrageenan,9000-07-1,E407,Not of concern at current use,ADI not specified,2018
Cyclamate,139-05-9,E952,Not genotoxic,ADI 7 mg/kg bw/day,2000
Erythrosine,16423-68-0,E127,Thyroid effects at high doses,ADI 0.1 mg/kg bw/day,2011
Glycerol,56-81-5,E422,Not of concern,No ADI needed,2017
Monosodium glutamate,142-47-2,E621,Headaches at high acute doses,ADI group 30 mg/kg bw/day,2017
Nitrites (sodium nitrite),7632-00-0,E250,Carcinogenic with amines,ADI 0.07 mg/kg bw/day,2017
Phosphoric acid,7664-38-2,E338,Renal effects at high doses,ADI 40 mg/kg bw/day,2019
Potassium sorbate,24634-61-5,E202,Not of concern,ADI 25 mg/kg bw/day,2015
Propyl gallate,121-79-9,E310,Possible endocrine effects,ADI 0.5 mg/kg bw/day,2014
Saccharin,81-07-2,E954,Not genotoxic,ADI 5 mg/kg bw/day,2009
Silicon dioxide,112926-00-8,E551,Not of concern,No ADI needed,2018
Sodium benzoate,532-32-1,E211,May form benzene with ascorbic acid,ADI 5 mg/kg bw/day,2016
Sodium lauryl sulfate,151-21-3,,Skin irritant,Not food additive,2020
Sorbic acid,110-44-1,E200,Not of concern,ADI 25 mg/kg bw/day,2015
Steviol glycosides,57817-89-7,E960,Not genotoxic,ADI 4 mg/kg bw/day,2010
Sucralose,56038-13-2,E955,Not genotoxic,ADI 15 mg/kg bw/day,2016
Sunset Yellow FCF,2783-94-0,E110,ADHD link inconclusive,ADI 4 mg/kg bw/day,2014
Tartrazine,1934-21-0,E102,ADHD link inconclusive,ADI 7.5 mg/kg bw/day,2009
Titanium dioxide,13463-67-7,E171,Can no longer be considered safe,No ADI established,2021
Xylitol,87-99-0,E967,Not of concern,No ADI needed,2011
Methylparaben,99-76-3,E218,Potential endocrine effects at high doses,ADI 0-10 mg/kg bw/day,2020
Ethylparaben,120-47-8,E214,Potential endocrine effects,ADI 0-10 mg/kg bw/day,2020
Propylparaben,94-13-3,E216,Endocrine disrupting potential,No ADI established,2020
Ascorbic acid,50-81-7,E300,Not of concern,No ADI needed,2021
Citric acid,77-92-9,E330,Not of concern,No ADI needed,2016
Tocopherol,59-02-9,E306,Not of concern,No ADI needed,2015
Lecithin,8002-43-5,E322,Not of concern,No ADI needed,2017
Xanthan gum,11138-66-2,E415,Not of concern,No ADI needed,2017
Pectin,9000-69-5,E440,Not of concern,No ADI needed,2017
Guar gum,9000-30-0,E412,Not of concern,No ADI needed,2017
