Agent,CAS No,Group,Volume,Year
Acetaldehyde,75-07-0,2B,71,1999
Acrylamide,79-06-1,2A,60,1994
Aflatoxins,1402-68-2,1,100F,2012
Aristolochic acids,313-67-7,1,100A,2012
Arsenic and inorganic arsenic compounds,7440-38-2,1,100C,2012
Asbestos (all forms),1332-21-4,1,100C,2012
Benzene,71-43-2,1,100F,2012
Benzo[a]pyrene,50-32-8,1,100F,2012
Beryllium and beryllium compounds,7440-41-7,1,100C,2012
1-3 Butadiene,106-99-0,1,100F,2012
Cadmium and cadmium compounds,7440-43-9,1,100C,2012
Chromium (VI) compounds,18540-29-9,1,100C,2012
Coal tar pitches,65996-93-2,1,100F,2012
Cyclophosphamide,50-18-0,1,100A,2012
Diethylstilbestrol,56-53-1,1,100A,2012
Engine exhaust diesel,0,2B,46,1989
Ethanol in alcoholic beverages,64-17-5,1,100E,2012
Ethylene oxide,75-21-8,1,100F,2012
Formaldehyde,50-00-0,1,100F,2012
Helicobacter pylori,0,1,100B,2012
Hepatitis B virus,0,1,100B,2012
Hepatitis C virus,0,1,100B,2012
Human papillomavirus types 16 and 18,0,1,100B,2012
Lindane,58-89-9,1,113,2015
Nickel compounds,0,1,100C,2012
Outdoor air pollution,0,1,109,2013
Processed meat,0,1,114,2015
Radon-222,14859-67-7,1,100D,2012
Silica dust crystalline,14808-60-7,1,100C,2012
Solar radiation,0,1,100D,2012
Sulfur mustard,505-60-2,1,100F,2012
Tamoxifen,10540-29-1,1,100A,2012
2-3-7-8-Tetrachlorodibenzo-para-dioxin,1746-01-6,1,100F,2012
Tobacco smoking,0,1,100E,2012
Ultraviolet radiation,0,1,100D,2012
Vinyl chloride,75-01-4,1,100F,2012
Wood dust,0,1,100C,2012
Acrolein,107-02-8,2A,142,2024
DDT,50-29-3,2A,113,2015
Diazinon,333-41-5,2A,113,2015
Glyphosate,1071-83-6,2A,112,2015
Lead compounds inorganic,0,2A,87,2006
Malathion,121-75-5,2A,112,2015
Nitrate or nitrite,0,2A,94,2010
Red meat,0,2A,114,2015
Styrene,100-42-5,2A,121,2019
Tetrachloroethylene,127-18-4,2A,106,2014
Trichloroethylene,79-01-6,1,106,2014
Titanium dioxide,13463-67-7,2B,93,2010
Carbon black,1333-86-4,2B,93,2010
Chloroform,67-66-3,2B,73,1999
Cobalt and cobalt compounds,7440-48-4,2B,52,1991
Dichloromethane,75-09-2,2A,110,2017
Gasoline,86290-81-5,2B,45,1989
Naphthalene,91-20-3,2B,82,2002
Talc not containing asbestiform fibres,14807-96-6,2B,93,2010
BHA (butylated hydroxyanisole),25013-16-5,2B,40,1986
BHT (butylated hydroxytoluene),128-37-0,3,40,1986
Caffeine,58-08-2,3,51,1991
Cholesterol,57-88-5,3,10,1976
Fluoride (inorganic),16984-48-8,3,27,1982
Hydrogen peroxide,7722-84-1,3,36,1985
Iron dextran complex,9004-66-4,2B,2,1973
Isopropanol,67-63-0,3,71,1999
Melamine,108-78-1,2B,119,2019
Paracetamol (acetaminophen),103-90-2,3,73,1999
Saccharin,81-07-2,3,73,1999
Sulfur dioxide,7446-09-5,3,54,1992
Tea,0,3,51,1991
Caprolactam,105-60-2,4,39,1986
