Chemical,CAS No,Type of Toxicity,Listing Mechanism,Date Listed
Acetaldehyde,75-07-0,cancer,AB,04/01/1988
Acrylamide,79-06-1,"cancer, developmental, male reproductive",SQE,01/01/1990
Arsenic (inorganic),7440-38-2,"cancer, developmental",SQE,02/27/1987
Asbestos,1332-21-4,cancer,SQE,02/27/1987
Benzene,71-43-2,"cancer, developmental, male reproductive",SQE,02/27/1987
Benzo[a]pyrene,50-32-8,cancer,SQE,02/27/1987
Bisphenol A (BPA),80-05-7,female reproductive,DARTLC,05/11/2015
Cadmium,7440-43-9,"cancer, developmental, male reproductive",SQE,10/01/1987
Carbon tetrachloride,56-23-5,"cancer, developmental",SQE,02/27/1987
Chloroform,67-66-3,"cancer, developmental",SQE,02/27/1987
Chromium (hexavalent compounds),18540-29-9,"cancer, developmental",SQE,02/27/1987
Di(2-ethylhexyl)phthalate (DEHP),117-81-7,"cancer, developmental, male reproductive",SQE,02/27/1987
Diethylstilbestrol (DES),56-53-1,"cancer, developmental",SQE,02/27/1987
Ethylene oxide,75-21-8,"cancer, developmental, male reproductive",SQE,02/27/1987
Formaldehyde (gas),50-00-0,cancer,SQE,01/01/1988
Glyphosate,1071-83-6,cancer,OEHHA,07/07/2017
Lead,7439-92-1,"cancer, developmental, female reproductive, male reproductive",SQE,02/27/1987
Mercury (inorganic),7439-97-6,"developmental, female reproductive",DARTLC,07/01/1990
Methanol,67-56-1,developmental,DARTLC,12/19/2011
Nickel (metallic),7440-02-0,cancer,SQE,10/01/1989
Propylparaben,94-13-3,developmental,DARTLC,12/20/2019
Styrene,100-42-5,cancer,SQE,04/22/2016
Tetrachloroethylene,127-18-4,cancer,SQE,04/01/1988
Titanium dioxide (airborne unbound particles),13463-67-7,cancer,AB,09/02/2011
Toluene,108-88-3,"developmental, female reproductive",DARTLC,01/01/1991
Trichloroethylene,79-01-6,"cancer, developmental",SQE,04/01/1988
Vinyl chloride,75-01-4,"cancer, developmental",SQE,02/27/1987
Di-n-butyl phthalate (DBP),84-74-2,"developmental, male reproductive",DARTLC,12/02/2006
Butylated hydroxyanisole (BHA),25013-16-5,cancer,SQE,01/01/1990
Carbon black (airborne unbound particles),1333-86-4,cancer,SQE,02/21/2003
Chlorine dioxide,10049-04-4,developmental,DARTLC,07/01/2011
Diethanolamine,111-42-2,cancer,SQE,06/22/2012
Methyl paraben,99-76-3,developmental,DARTLC,12/20/2019
Sodium fluoride,7681-49-4,developmental,DARTLC,05/01/2016
